"Class","Raised","Post-Money","Announced","Close Date","PPS","Authorized Shs.","Outstanding Shs.","Ownership","Seniority","Liq. Pref.","Dividend","Anti-dilution Rights","Participating","Voting Rights","Redemption",""
"Series J","10,175.0 M⁸","62.00 B","17 Dec 2024","16 Dec 2024","92.50","110,000,000","110,000,000","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series I","549.9 M⁸","43.00 B","14 Sept 2023","13 Sept 2023","73.50","7,482,993","7,482,993","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series H","1,631.3 M⁸","38.00 B","31 Aug 2021","30 Aug 2021","73.484133","22,200,000","22,200,000","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series G","1,028.7 M⁸","28.00 B","01 Feb 2021","31 Jan 2021","59.122633","17,400,000","17,400,000","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series F","408.0 M⁸","6.20 B","22 Oct 2019","21 Oct 2019","14.316133","28,500,000","28,500,000","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series E","250.0 M⁸","2.75 B","05 Feb 2019","10 Jan 2019","7.095967","35,231,280","35,231,280","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series D","139.9 M⁸","","22 Aug 2017","02 Aug 2017","2.794133","50,104,962","50,104,962","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series C","60.3 M⁸","","15 Dec 2016","17 Dec 2015","1.966","30,709,548","30,709,548","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series B","34.1 M⁸","","30 Jun 2014","05 Jun 2014","1.11512","30,618,855","30,618,855","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Series A","13.9 M⁸","","10 Sept 2013","","0.25945","53,951,256","53,951,256","Tier 1","1x","6.0%","Non-cumulative","Broad-based","No","1x","No",""
"Common","5.2 M","","","","","860,129,902","","","","","","","","","",""
"Common C","5.2 M","","","","","","","Tier 2","","","","","1x","No","",""
"Common B","","","","","","42,129,902","","Tier 2","","","","","30x","No","",""
"Common A","","","","","","818,000,000","","Tier 2","","","","","1x","No","",""
"Total","14,296.85 M","","","","","","670,270,270","","","","","","","","",""